 INFO | 2018-08-10 14:49:07,545 | Common.java | 81 | null:  Startup activites...
 INFO | 2018-08-10 14:49:07,545 | Common.java | 81 | null:  Test Output Directory creation successful :C:\workspace\SWAUT\TestResults\2018_08_10_02_49_07_PM
 INFO | 2018-08-10 14:49:07,545 | Common.java | 81 | null:  Log File creation successful : LogFile.log
 INFO | 2018-08-10 14:49:07,717 | Common.java | 81 | null:  Getting value of Tc_Settings_Excelpath from Test Configuration file : TestCase Configuration
 INFO | 2018-08-10 14:49:07,717 | Common.java | 81 | null:  Getting value of TestDataFile from Test Configuration file : Test data file
 INFO | 2018-08-10 14:49:07,717 | Common.java | 81 | null:  Startup activities - Done...
 INFO | 2018-08-10 14:49:07,826 | Common.java | 81 | TC_009:  Getting value of ElementLoadWaitTime from Test Configuration file : 
 INFO | 2018-08-10 14:49:07,889 | Common.java | 81 | TC_009:  Getting value of SendMail(Yes/No) from Test Configuration file : 
 INFO | 2018-08-10 14:49:07,889 | Common.java | 81 | TC_009:  Getting value of SendMsg(Yes/No) from Test Configuration file : 
 INFO | 2018-08-10 14:49:07,889 | Common.java | 81 | TC_009:  Getting value of VoiceCall(Yes/No) from Test Configuration file : 
 INFO | 2018-08-10 14:49:07,889 | Common.java | 81 | TC_009:  Unable to attach the file to TestLink in following path->C:\workspace\SWAUT\TestResults\2018_08_10_02_49_07_PM/Results.html
ERROR | 2018-08-10 14:49:07,889 | Common.java | 89 | TC_009:  java.lang.NullPointerException
 INFO | 2018-08-10 14:49:07,889 | Common.java | 81 | TC_009:  ###################################
 INFO | 2018-08-10 14:49:07,889 | Common.java | 81 | TC_009:  Script Execution Complete
 INFO | 2018-08-10 14:49:07,889 | Common.java | 81 | TC_009:  ####################################
